date,temperature
2021-01-01,19.76
2021-01-02,20.51
2021-01-03,20.41
2021-01-04,21.29
2021-01-05,23.11
2021-01-06,22.58
2021-01-07,22.16
2021-01-08,24.0
2021-01-09,24.62
2021-01-10,23.69
2021-01-11,24.14
2021-01-12,23.34
2021-01-13,22.69
2021-01-14,23.01
2021-01-15,20.73
2021-01-16,19.04
2021-01-17,19.03
2021-01-18,18.51
2021-01-19,19.69
2021-01-20,19.25
2021-01-21,18.31
2021-01-22,20.99
2021-01-23,21.27
2021-01-24,21.89
2021-01-25,20.65
2021-01-26,20.69
2021-01-27,21.54
2021-01-28,20.77
2021-01-29,21.99
2021-01-30,21.88
2021-01-31,22.19
2021-02-01,22.11
2021-02-02,25.02
2021-02-03,25.28
2021-02-04,24.29
2021-02-05,25.72
2021-02-06,24.53
2021-02-07,25.26
2021-02-08,23.31
2021-02-09,22.44
2021-02-10,23.56
2021-02-11,25.19
2021-02-12,25.93
2021-02-13,26.25
2021-02-14,26.33
2021-02-15,25.01
2021-02-16,24.83
2021-02-17,25.02
2021-02-18,27.04
2021-02-19,27.92
2021-02-20,26.18
2021-02-21,27.23
2021-02-22,27.31
2021-02-23,27.05
2021-02-24,28.41
2021-02-25,30.09
2021-02-26,31.44
2021-02-27,30.49
2021-02-28,30.34
2021-03-01,31.02
2021-03-02,32.39
2021-03-03,31.85
2021-03-04,31.76
2021-03-05,30.62
2021-03-06,29.56
2021-03-07,31.1
2021-03-08,33.09
2021-03-09,33.1
2021-03-10,34.42
2021-03-11,34.8
2021-03-12,33.95
2021-03-13,34.45
2021-03-14,36.32
2021-03-15,36.04
2021-03-16,37.76
2021-03-17,34.22
2021-03-18,35.36
2021-03-19,35.48
2021-03-20,35.14
2021-03-21,35.34
2021-03-22,33.05
2021-03-23,33.24
2021-03-24,34.11
2021-03-25,36.23
2021-03-26,35.65
2021-03-27,34.84
2021-03-28,34.53
2021-03-29,35.99
2021-03-30,36.55
2021-03-31,36.02
2021-04-01,36.84
2021-04-02,37.05
2021-04-03,38.3
2021-04-04,37.37
2021-04-05,37.05
2021-04-06,36.72
2021-04-07,35.17
2021-04-08,35.98
