product_id,category,mrp_inr,discount_percent,rating,spec_score,selling_price_inr
FP_101,Electronics,4999,25,4.2,65,3799
FP_102,Electronics,8999,35,4.4,78,5799
FP_103,Electronics,14999,40,4.1,82,8899
FP_104,Electronics,24999,20,4.6,88,19899
FP_105,Electronics,39999,30,4.5,92,27999
FP_106,Audio,1999,45,4.0,55,1099
FP_107,Audio,3499,50,4.3,68,1749
FP_108,Audio,7999,30,4.7,85,5599
FP_109,Audio,12999,25,4.5,89,9699
FP_110,Appliances,15999,35,4.2,74,10399
FP_111,Appliances,28999,28,4.4,84,20899
FP_112,Appliances,45999,22,4.6,91,35799
FP_113,Laptops,34999,18,4.1,72,28699
FP_114,Laptops,54999,25,4.5,88,41199
FP_115,Laptops,79999,15,4.7,96,67899
FP_116,Wearables,2499,60,3.9,58,999
FP_117,Wearables,4999,40,4.3,75,2999
FP_118,Wearables,9999,30,4.6,86,6999
FP_119,Wearables,18999,20,4.8,94,15199
FP_120,Electronics,6999,30,4.2,70,4899
FP_121,Electronics,11999,38,4.3,80,7399
FP_122,Electronics,18999,22,4.5,86,14799
FP_123,Audio,2999,40,4.1,62,1799
FP_124,Audio,5999,35,4.4,79,3899
FP_125,Appliances,19999,30,4.3,78,13999
FP_126,Appliances,34999,25,4.5,87,26199
FP_127,Laptops,42999,20,4.2,76,34399
FP_128,Laptops,64999,22,4.6,90,50699
FP_129,Wearables,3999,45,4.2,70,2199
FP_130,Wearables,7499,32,4.5,82,5099
FP_131,Electronics,5499,28,4.0,66,3949
FP_132,Electronics,9999,32,4.4,79,6799
FP_133,Audio,4499,48,4.2,71,2329
FP_134,Appliances,22999,26,4.4,81,16999
FP_135,Laptops,48999,19,4.3,82,39699
FP_136,Wearables,5999,38,4.4,78,3699
FP_137,Electronics,16499,35,4.5,85,10699
FP_138,Audio,8999,28,4.6,88,6479
FP_139,Appliances,38999,24,4.5,89,29599
FP_140,Laptops,72999,16,4.7,94,61299
FP_141,Wearables,12499,25,4.6,90,9299
FP_142,Electronics,7999,33,4.2,73,5349
FP_143,Audio,2499,52,3.8,59,1199
FP_144,Appliances,12999,38,4.1,72,7999
FP_145,Laptops,38999,21,4.2,74,30799
FP_146,Wearables,3499,42,4.1,67,1999
FP_147,Electronics,21999,25,4.5,87,16499
FP_148,Audio,6499,36,4.3,80,4149
FP_149,Appliances,26999,27,4.4,83,19699
FP_150,Laptops,58999,20,4.6,91,47199
FP_151,Electronics,3299,20,3.9,60,2639
FP_152,Audio,4999,44,4.3,73,2799
FP_153,Appliances,17999,32,4.2,76,12199
FP_154,Laptops,46999,22,4.4,83,36599
FP_155,Wearables,8499,35,4.5,84,5499
FP_156,Electronics,13499,37,4.3,81,8499
FP_157,Audio,10999,26,4.7,91,8099
FP_158,Appliances,31999,26,4.5,86,23599
FP_159,Laptops,68999,17,4.7,93,57199
FP_160,Wearables,14999,22,4.7,92,11699
FP_161,Electronics,6299,31,4.1,69,4349
FP_162,Audio,3999,46,4.0,65,2149
FP_163,Appliances,24999,29,4.3,80,17699
FP_164,Laptops,51999,23,4.5,86,39999
FP_165,Wearables,4499,41,4.2,69,2649
FP_166,Electronics,27999,22,4.6,89,21799
FP_167,Audio,7499,32,4.5,83,5099
FP_168,Appliances,41999,23,4.6,90,32299
FP_169,Laptops,84999,14,4.8,97,72999
FP_170,Wearables,16999,20,4.8,95,13599
FP_171,Electronics,8499,34,4.2,75,5599
FP_172,Audio,2799,49,3.9,61,1429
FP_173,Appliances,14499,36,4.2,74,9279
FP_174,Laptops,36999,19,4.1,73,29899
FP_175,Wearables,2999,55,4.0,63,1349
FP_176,Electronics,19999,24,4.4,85,15199
FP_177,Audio,5499,38,4.2,77,3399
FP_178,Appliances,29999,25,4.5,85,22499
FP_179,Laptops,61999,21,4.6,89,48899
FP_180,Wearables,6999,34,4.4,80,4599
FP_181,Electronics,4499,27,4.1,64,3279
FP_182,Audio,9999,27,4.6,89,7289
FP_183,Appliances,36999,24,4.5,88,28099
FP_184,Laptops,76999,15,4.7,95,65399
FP_185,Wearables,11499,28,4.5,87,8279
FP_186,Electronics,15499,36,4.3,82,9899
FP_187,Audio,1999,50,3.8,54,999
FP_188,Appliances,20999,31,4.3,79,14479
FP_189,Laptops,44999,20,4.3,80,35999
FP_190,Wearables,5499,39,4.3,74,3349
FP_191,Electronics,23499,21,4.5,88,18549
FP_192,Audio,8499,31,4.5,86,5859
FP_193,Appliances,48999,20,4.7,93,39189
FP_194,Laptops,89999,12,4.8,98,79189
FP_195,Wearables,21999,18,4.9,97,17999
FP_196,Electronics,10499,30,4.3,79,7349
FP_197,Audio,3299,42,4.1,66,1909
FP_198,Appliances,16999,33,4.2,75,11379
FP_199,Laptops,39999,18,4.2,75,32789
FP_200,Wearables,3999,44,4.1,68,2239
