order_id,order_date,category,order_value_inr
OD100208,2023-01-01 12:06:25,Electronics,588.27
OD100123,2023-01-01 13:36:24,Home & Kitchen,734.96
OD100669,2023-01-01 13:38:35,Beauty,3545.23
OD100254,2023-01-01 16:58:07,Fashion,593.14
OD101297,2023-01-01 17:52:03,Mobiles,1980.52
OD101176,2023-01-01 18:47:41,Fashion,3305.93
OD100738,2023-01-01 19:37:20,Mobiles,1107.51
OD101022,2023-01-02 01:36:33,Fashion,4003.92
OD100024,2023-01-02 04:42:35,Mobiles,3428.69
OD101191,2023-01-02 08:47:13,Fashion,379.65
OD100534,2023-01-02 09:00:34,Electronics,3013.99
OD100620,2023-01-02 16:05:56,Mobiles,5015.69
OD100587,2023-01-03 02:51:02,Electronics,477.76
OD100792,2023-01-03 06:56:15,Electronics,1028.57
OD100274,2023-01-03 14:34:41,Mobiles,6213.11
OD101290,2023-01-03 19:59:21,Electronics,3892.41
OD100087,2023-01-04 03:30:36,Home & Kitchen,1258.99
OD100646,2023-01-04 08:13:10,Fashion,3432.12
OD101056,2023-01-04 18:55:59,Home & Kitchen,2067.42
OD101281,2023-01-05 11:45:52,Beauty,3682.52
OD100238,2023-01-05 15:51:30,Electronics,4790.6
OD100900,2023-01-05 21:39:30,Mobiles,5524.13
OD100482,2023-01-06 03:38:21,Fashion,885.73
OD100853,2023-01-06 04:32:25,Mobiles,2786.3
OD100563,2023-01-06 04:49:55,Beauty,5338.2
OD101216,2023-01-06 09:43:30,Mobiles,4544.32
OD100686,2023-01-06 16:24:32,Mobiles,4546.42
OD100165,2023-01-06 16:27:14,Mobiles,2740.47
OD100939,2023-01-06 18:12:42,Fashion,918.72
OD100501,2023-01-06 18:34:23,Electronics,10230.8
OD100381,2023-01-06 19:12:37,Home & Kitchen,594.59
OD100600,2023-01-07 03:05:25,Mobiles,1128.86
OD100720,2023-01-07 03:43:51,Home & Kitchen,1595.0
OD101064,2023-01-07 08:50:22,Electronics,1092.45
OD100345,2023-01-07 10:03:14,Electronics,4105.13
OD100100,2023-01-07 12:51:25,Home & Kitchen,363.44
OD101315,2023-01-07 14:47:30,Mobiles,1472.2
OD101171,2023-01-08 08:33:25,Fashion,4839.65
OD100532,2023-01-08 12:19:10,Fashion,373.01
OD100531,2023-01-08 17:05:26,Electronics,1698.61
OD100747,2023-01-08 19:38:30,Beauty,3646.43
OD101076,2023-01-09 04:34:49,Home & Kitchen,3010.54
OD100185,2023-01-09 21:46:38,Mobiles,7506.89
OD100595,2023-01-10 07:08:48,Mobiles,3985.42
OD100273,2023-01-10 09:52:48,Mobiles,1597.42
OD101371,2023-01-11 02:32:52,Electronics,362.22
OD100192,2023-01-11 02:52:51,Home & Kitchen,1475.33
OD100321,2023-01-11 12:58:01,Mobiles,4923.19
OD101247,2023-01-11 22:26:29,Home & Kitchen,5298.89
OD101406,2023-01-12 00:59:19,Mobiles,5010.48
OD101301,2023-01-12 01:08:00,Home & Kitchen,1462.73
OD100529,2023-01-12 12:42:41,Mobiles,3561.81
OD100104,2023-01-12 15:48:13,Mobiles,485.03
OD100597,2023-01-13 01:47:13,Fashion,709.99
OD101145,2023-01-13 09:50:00,Home & Kitchen,893.49
OD101109,2023-01-13 09:57:27,Beauty,5179.23
OD100544,2023-01-13 11:53:20,Fashion,3807.75
OD100687,2023-01-13 13:54:40,Fashion,2275.52
OD100664,2023-01-13 17:42:47,Electronics,1358.11
OD100291,2023-01-13 22:50:43,Beauty,991.45
OD101364,2023-01-14 03:32:44,Electronics,2038.25
OD100221,2023-01-14 21:44:42,Beauty,3208.65
OD101196,2023-01-15 01:38:22,Mobiles,5661.13
OD101150,2023-01-15 03:41:09,Mobiles,3438.04
OD100361,2023-01-15 08:44:42,Home & Kitchen,894.62
OD101489,2023-01-15 12:46:04,Beauty,2449.11
OD100026,2023-01-15 14:45:52,Fashion,1224.39
OD100118,2023-01-15 20:59:20,Fashion,8610.8
OD100835,2023-01-15 21:24:03,Electronics,7045.88
OD101183,2023-01-16 03:11:46,Mobiles,716.18
OD100934,2023-01-16 13:20:27,Electronics,2638.66
OD100659,2023-01-16 15:44:55,Electronics,3562.92
OD100682,2023-01-17 06:05:30,Fashion,9086.91
OD100481,2023-01-17 08:54:26,Mobiles,1773.41
OD101313,2023-01-17 09:20:12,Mobiles,2416.26
OD100437,2023-01-17 09:56:15,Electronics,7448.7
OD100581,2023-01-17 11:21:26,Fashion,2534.9
OD100866,2023-01-17 20:08:28,Fashion,2045.06
OD100062,2023-01-17 23:08:09,Mobiles,682.28
OD101052,2023-01-18 18:07:06,Electronics,990.03
OD100951,2023-01-19 12:33:16,Home & Kitchen,5409.71
OD101121,2023-01-19 12:53:16,Fashion,958.97
OD101110,2023-01-19 21:05:07,Fashion,15409.37
OD100980,2023-01-19 22:12:36,Fashion,1958.43
OD100576,2023-01-20 01:25:11,Fashion,1658.44
OD101217,2023-01-20 03:43:36,Fashion,5084.62
OD100311,2023-01-20 04:51:06,Electronics,3367.76
OD100303,2023-01-20 05:38:29,Mobiles,2781.64
OD100997,2023-01-20 22:25:20,Mobiles,8909.2
OD100135,2023-01-21 02:31:35,Beauty,10638.97
OD100627,2023-01-21 05:33:34,Beauty,1457.83
OD101455,2023-01-21 21:31:08,Electronics,1240.75
OD101091,2023-01-22 09:43:16,Electronics,398.4
OD101085,2023-01-22 11:16:11,Electronics,378.11
OD100076,2023-01-22 15:42:08,Fashion,1704.0
OD100906,2023-01-22 16:23:41,Fashion,5193.24
OD100857,2023-01-22 18:04:50,Mobiles,1759.94
OD101120,2023-01-23 02:45:05,Electronics,2954.76
