caption_length,post_hour,hashtag_count,num_mentions,media_count,follower_count_k,high_engagement
99,10,6,3,2,6.39,1
71,7,6,3,5,6.26,0
67,0,4,1,1,21.22,0
67,22,8,1,1,6.17,0
164,23,5,2,1,15.55,0
113,7,4,0,1,18.0,1
59,12,8,1,2,16.61,1
101,21,14,1,1,14.37,0
87,3,8,2,3,8.51,0
25,7,11,0,3,7.51,0
43,2,7,0,2,12.97,0
90,8,5,1,2,1.49,1
156,1,7,1,1,31.79,0
67,1,12,2,1,26.67,0
56,12,7,1,2,6.88,1
81,14,12,2,1,13.05,0
55,22,5,2,2,40.87,1
65,11,8,0,1,5.25,0
76,3,5,5,1,20.85,1
42,7,8,2,1,1.8,0
116,8,9,1,1,11.62,0
38,22,8,2,5,32.81,1
35,4,5,0,1,12.53,0
85,23,2,3,5,14.87,1
111,19,5,1,2,36.23,1
83,17,9,2,5,19.35,1
72,10,7,1,2,18.35,1
65,14,6,1,5,13.74,1
59,21,6,1,1,15.54,1
129,8,2,2,2,24.92,1
90,16,7,2,1,58.62,1
62,11,4,2,1,24.3,1
52,6,12,2,2,18.94,0
104,9,5,1,2,2.68,0
128,9,3,1,1,25.98,1
122,12,9,2,1,20.48,1
47,18,4,1,2,22.57,0
64,10,7,0,2,4.44,1
58,12,3,1,1,35.56,0
69,20,10,0,5,2.04,1
115,7,6,0,10,4.89,1
148,7,8,2,5,16.82,1
92,3,6,0,3,17.3,0
53,14,5,3,1,6.14,1
75,10,5,2,10,18.64,1
163,10,4,3,1,7.86,0
80,0,6,0,1,0.5,0
65,16,3,2,3,3.16,0
68,14,7,1,1,32.63,1
92,19,10,1,2,4.28,1
48,5,7,2,1,2.3,0
58,23,5,3,2,17.7,0
121,21,10,0,2,9.22,0
91,14,3,2,1,24.39,1
80,8,6,1,1,30.15,0
124,13,4,2,2,28.56,1
51,17,9,0,2,6.13,0
64,16,5,1,1,11.06,1
89,17,3,2,5,16.25,1
87,4,4,0,1,6.33,1
33,19,4,1,5,1.13,1
60,19,9,1,1,10.77,0
70,8,7,3,1,0.69,0
94,10,8,1,1,45.63,1
87,23,5,2,1,24.39,0
73,21,4,1,1,3.7,0
25,0,3,0,1,5.59,0
75,17,5,1,1,61.48,1
79,5,10,1,1,7.52,0
236,1,4,0,2,23.47,0
69,14,8,0,10,9.38,1
89,20,3,2,1,30.44,1
135,13,6,0,3,18.75,0
112,4,0,2,3,0.85,0
151,5,2,1,2,5.73,0
34,5,8,1,5,12.75,1
43,21,6,0,10,39.59,1
56,17,8,2,1,2.11,0
31,13,6,2,2,14.29,1
79,9,9,2,2,5.9,1
45,13,9,1,1,33.52,1
162,12,4,1,1,22.23,1
49,2,8,3,5,7.42,1
64,5,6,0,3,3.24,0
115,7,6,0,1,0.67,0
37,11,9,3,1,15.06,1
30,12,5,3,5,8.32,1
84,10,9,2,1,6.17,1
87,11,8,1,2,64.01,1
113,0,8,0,1,9.91,0
100,16,9,1,1,21.28,1
89,15,5,0,1,3.43,0
52,10,7,0,1,0.7,0
86,12,17,1,1,8.61,0
89,17,7,0,2,16.93,1
51,10,3,0,2,11.1,0
185,11,5,0,1,33.67,1
97,5,7,0,3,9.04,1
44,8,4,1,2,6.09,0
114,15,4,3,1,37.66,1
124,3,4,0,1,8.33,0
94,2,3,0,1,5.21,0
67,15,8,0,10,2.04,1
50,23,7,1,2,24.15,1
73,11,7,0,1,26.65,1
91,10,6,2,3,1.01,0
77,4,6,0,1,7.16,0
155,17,4,0,1,21.29,1
105,18,3,5,2,44.39,1
47,22,7,1,3,7.62,0
41,22,5,2,1,31.34,1
98,5,4,1,5,8.01,0
67,21,6,1,1,3.47,1
110,17,4,1,1,0.55,0
97,5,9,2,10,6.51,1
73,3,1,3,2,7.63,0
47,11,7,1,3,44.04,1
31,18,13,0,3,3.96,0
85,1,3,0,5,7.72,1
37,16,5,2,1,0.88,0
46,10,5,2,1,22.13,0
83,10,6,1,3,37.5,1
79,20,3,1,2,4.57,1
40,15,8,3,2,8.91,1
131,1,7,0,1,2.45,0
129,1,6,0,1,9.66,0
99,22,8,1,2,2.65,1
99,7,6,1,1,11.61,0
99,12,8,1,1,20.4,1
123,9,5,0,1,12.59,0
106,7,5,2,1,4.72,1
49,3,6,0,3,7.05,0
67,14,5,1,3,15.77,1
222,0,4,1,1,13.87,0
25,10,3,1,1,2.71,0
59,6,5,2,2,28.46,1
131,16,7,1,1,10.17,1
51,19,5,2,3,3.16,1
108,23,6,0,3,2.47,0
78,17,5,0,5,51.02,1
53,21,6,2,2,5.46,1
23,21,7,0,1,36.39,0
84,11,4,1,2,8.43,1
49,8,0,1,1,7.81,0
72,4,4,4,1,18.61,0
99,9,7,1,1,0.65,0
118,3,5,0,1,6.69,0
59,4,6,0,1,5.91,0
53,9,5,2,1,30.89,1
37,10,10,1,2,11.8,0
121,20,10,0,10,7.3,1
206,23,5,1,1,5.14,0
128,9,4,0,2,13.89,1
142,7,1,5,1,2.97,0
51,1,6,2,5,4.74,1
96,22,11,1,1,5.71,0
113,7,6,0,5,14.54,1
12,15,11,1,1,7.51,0
42,21,4,0,3,11.07,1
167,4,11,1,1,16.27,0
33,2,3,1,1,47.45,0
154,11,3,2,1,22.21,0
33,12,6,1,1,8.29,1
44,12,8,0,3,21.19,1
97,9,6,0,2,45.34,1
79,3,7,2,1,10.88,0
62,8,9,0,10,8.43,1
164,21,8,0,2,1.72,0
37,23,9,1,10,33.94,1
70,22,5,0,1,4.74,0
103,1,9,1,5,1.49,1
88,18,2,1,1,12.06,0
