brand,ram_gb,storage_gb,battery_mah,camera_mp,price_inr
Samsung,4,64,4500,48,14500
Xiaomi,6,128,5000,50,18500
Realme,6,128,5000,64,17500
OnePlus,8,128,4500,50,29000
Apple,4,64,3200,12,39900
Samsung,8,256,5000,108,38000
Vivo,6,128,4500,64,21500
Oppo,8,128,4500,50,24000
Motorola,4,64,5000,48,12000
Xiaomi,8,256,5000,108,27500
Apple,6,128,3800,48,69900
OnePlus,12,256,5000,50,44000
iQOO,8,256,5000,50,31000
Samsung,12,256,5000,200,65000
Realme,4,64,5000,48,11500
Apple,6,256,4300,48,89900
Xiaomi,4,64,5000,48,10500
Motorola,8,128,5000,50,19500
Vivo,8,256,4800,50,32000
OnePlus,16,512,5400,50,64900
Samsung,6,128,5000,50,22500
Apple,8,512,4422,48,139900
iQOO,12,256,5000,50,39000
Realme,8,128,5000,50,21000
Oppo,6,128,4500,48,18500
Samsung,8,128,4500,50,27000
Xiaomi,12,256,5000,200,42000
Motorola,6,128,5000,50,16500
Apple,6,128,3279,12,54900
Vivo,12,256,5000,50,45000
OnePlus,8,256,5000,50,36000
iQOO,8,128,5000,64,26500
Samsung,4,128,5000,48,16000
Realme,12,256,5000,50,34500
Xiaomi,6,64,5000,48,13500
Apple,8,256,4422,48,119900
Motorola,12,256,5000,50,33000
Oppo,8,256,5000,64,28500
Vivo,4,64,4500,16,11000
Samsung,16,512,5000,200,114900
OnePlus,12,512,5400,50,54900
iQOO,16,512,5000,50,52000
Xiaomi,8,128,5000,64,23000
Realme,6,64,5000,48,14000
Apple,6,512,4323,12,94900
Samsung,8,256,4500,50,34000
Motorola,8,256,5000,50,24000
Vivo,8,128,4600,64,25000
Oppo,12,256,5000,50,38000
OnePlus,8,128,4500,48,27500
Xiaomi,12,512,5000,200,58000
Samsung,6,64,5000,48,15500
Apple,4,128,3227,12,44900
Realme,8,256,5000,108,26000
iQOO,8,256,4700,64,29500
Motorola,4,128,5000,48,13000
Vivo,12,512,5000,50,56000
OnePlus,16,256,5000,50,48000
Samsung,12,512,5000,200,89900
Xiaomi,4,128,5000,50,12500
Apple,8,128,3877,48,79900
Oppo,6,64,4500,48,14500
Realme,12,512,5000,200,46000
iQOO,12,512,5000,50,46000
Motorola,6,256,5000,50,21000
Vivo,6,256,4600,64,24000
Samsung,8,512,5000,108,49900
OnePlus,8,256,4500,50,33500
Xiaomi,8,256,5000,50,25000
Apple,6,256,3200,12,62900
Realme,4,128,5000,50,13500
Oppo,8,128,4500,64,23500
Motorola,8,128,5000,48,18000
iQOO,6,128,5000,64,22000
Samsung,16,256,5000,200,74900
Vivo,8,256,5000,64,31000
OnePlus,12,256,4800,50,41000
Xiaomi,6,128,5000,64,19500
Apple,8,256,3877,48,99900
Realme,8,128,5000,64,22500
Samsung,6,256,5000,50,26000
Motorola,12,512,5000,50,42000
Oppo,12,512,5000,50,49000
Vivo,4,128,4500,48,13500
iQOO,8,256,5000,50,30500
OnePlus,16,512,5000,50,61900
Xiaomi,8,128,5000,108,24500
Apple,6,128,3095,12,49900
Realme,6,256,5000,50,23000
Samsung,12,128,5000,108,46000
Motorola,4,64,5000,16,9900
Vivo,8,128,4500,50,23500
Oppo,6,128,5000,50,19000
iQOO,12,256,5000,64,37500
OnePlus,8,128,5000,50,28500
Xiaomi,12,256,5000,108,36500
Apple,8,512,4383,48,129900
Realme,8,256,5000,50,25500
Samsung,8,256,5000,50,32500
Motorola,8,256,5000,108,27500
